Ticker,Name,MC ($M),Close,EMA9,EMA21,SMA50,Spread %,Alignment,Vol Ratio
HQL,abrdn Life Sciences Investors Shares of ,438,17.11,16.96,16.96,16.97,0.08,BEARISH,0.91
MYFW,"First Western Financial, Inc. Common Sto",251,25.86,25.81,25.83,25.84,0.09,BEARISH,0.42
SAT,Saratoga Investment Corp 6.00% Notes due,387,24.73,24.93,24.94,24.89,0.17,MIXED,0.92
YORW,York Water Company (The) Common Stock,480,33.31,32.73,32.79,32.78,0.18,MIXED,0.83
MLP,"Maui Land & Pineapple Company, Inc. Comm",330,16.77,16.93,16.97,16.95,0.19,MIXED,0.87
GAINN,Gladstone Investment Corporation 5.00% N,959,25.1,25.02,25.03,25.07,0.2,BEARISH,1.06
RWAYZ,Runway Growth Finance Corp. 8.00% Notes ,904,24.96,25.32,25.34,25.29,0.21,MIXED,1.2
GNE,Genie Energy Ltd. Class B Common Stock S,385,14.48,14.15,14.12,14.12,0.21,BULLISH,0.73
FRGE,"Forge Global Holdings, Inc. Common Stock",618,44.67,44.68,44.62,44.58,0.23,BULLISH,1.31
SSSS,SuRo Capital Corp. Common Stock,239,9.58,9.45,9.43,9.44,0.23,MIXED,0.95
BRT,BRT Apartments Corp. (MD) Common Stock,278,14.59,14.68,14.71,14.67,0.25,MIXED,0.64
MIN,MFS Intermediate Income Trust Common Sto,299,2.6,2.6,2.6,2.6,0.26,BEARISH,1.13
GAINZ,Gladstone Investment Corporation 4.875% ,920,24.08,24.05,24.02,23.98,0.29,BULLISH,0.73
EFT,Eaton Vance Floating Rate Income Trust C,330,11.35,11.35,11.38,11.35,0.29,MIXED,1.12
GEGGL,"Great Elm Group, Inc.  7.25% Notes due 2",710,24.5,24.52,24.59,24.59,0.3,BEARISH,1.65
TACO,Berto Acquisition Corp. Ordinary Shares,371,10.19,10.19,10.19,10.16,0.3,BULLISH,0.5
FCRX,"Crescent Capital BDC, Inc. 5.00% Notes d",931,25.12,25.1,25.06,25.01,0.32,BULLISH,0.43
RWAYL,Runway Growth Finance Corp. 7.50% Notes ,906,25.01,25.33,25.33,25.25,0.32,BULLISH,1.98
INBKZ,First Internet Bancorp 6.0% Fixed-to-Flo,212,24.28,24.64,24.68,24.72,0.33,BEARISH,1.99
CUB,Lionheart Holdings Class A Ordinary Shar,340,10.7,10.69,10.68,10.65,0.34,BULLISH,1.52
RGCO,RGC Resources Inc. Common Stock,226,21.77,21.76,21.69,21.7,0.34,MIXED,0.7
AMSF,"AMERISAFE, Inc. Common Stock",717,37.87,38.27,38.17,38.14,0.35,BULLISH,0.95
WHFCL,"WhiteHorse Finance, Inc. 7.875% Notes du",589,25.35,25.36,25.35,25.27,0.37,BULLISH,0.14
SSSSL,SuRo Capital Corp. 6.00% Notes due 2026,598,25.05,25.02,25.0,24.93,0.38,BULLISH,1.14
MITP,"TPG Mortgage Investment Trust, Inc. 9.50",744,25.18,25.28,25.34,25.38,0.39,BEARISH,0.55
ARDC,"Ares Dynamic Credit Allocation Fund, Inc",303,13.24,13.32,13.36,13.3,0.4,MIXED,0.89
SAZ,Saratoga Investment Corp 8.50% Notes due,395,25.18,25.55,25.54,25.45,0.41,BULLISH,0.98
FTW,EQV Ventures Acquisition Corp. Class A O,470,10.55,10.56,10.55,10.51,0.43,BULLISH,1.26
SWIM,"Latham Group, Inc. Common Stock",778,6.67,6.57,6.54,6.56,0.45,MIXED,0.79
VALU,"Value Line, Inc. Common Stock",357,38.01,37.37,37.31,37.48,0.45,MIXED,0.69
MFIN,Medallion Financial Corp. Common Stock,240,10.29,10.3,10.26,10.31,0.45,MIXED,0.76
SAY,Saratoga Investment Corp 8.125% Notes du,394,25.15,25.51,25.5,25.39,0.48,BULLISH,1.46
BMEZ,BlackRock Health Sciences Term Trust Com,201,15.04,15.07,15.15,15.15,0.48,BEARISH,0.54
GOODO,Gladstone Commercial Corporation 6.00% S,985,20.35,20.35,20.42,20.45,0.49,BEARISH,0.8
XOMAO,XOMA Royalty Corporation Depositary Shar,314,25.35,25.32,25.31,25.19,0.51,BULLISH,0.65
BBDC,"Barings BDC, Inc. Common Stock",960,9.15,9.09,9.08,9.04,0.52,BULLISH,0.9
OOMA,"Ooma, Inc. Common Stock",323,11.73,11.64,11.7,11.66,0.52,MIXED,0.83
ETD,Ethan Allen Interiors Inc. Common Stock,601,23.56,23.69,23.64,23.56,0.53,BULLISH,0.66
WEYS,"Weyco Group, Inc. Common Stock",307,31.97,31.74,31.57,31.61,0.53,MIXED,0.89
TRVG,trivago N.V. American Depositary Shares,204,2.9,2.91,2.89,2.9,0.53,MIXED,1.12
NEWTI,"NewtekOne, Inc. 8.00% Fixed Rate Senior ",668,25.38,25.39,25.36,25.25,0.56,BULLISH,1.42
AVBP,"ArriVent BioPharma, Inc. Common Stock",945,23.1,22.16,22.12,22.25,0.57,MIXED,0.76
MATW,Matthews International Corporation Class,814,26.11,26.22,26.33,26.36,0.57,BEARISH,0.66
CCNEP,CNB Financial Corporation Depositary Sha,746,25.12,25.11,25.09,24.97,0.57,BULLISH,1.07
SWKHL,SWK Holdings Corporation 9.00% Senior No,311,25.64,25.62,25.59,25.48,0.57,BULLISH,0.9
ESEA,Euroseas Ltd. Common Stock (Marshall Isl,392,56.51,55.63,55.34,55.67,0.58,MIXED,1.0
TRTX,"TPG RE Finance Trust, Inc. Common Stock",698,8.91,8.96,8.99,8.94,0.59,MIXED,0.64
SAJ,Saratoga Investment Corp 8.00% Notes due,396,25.28,25.68,25.7,25.54,0.6,MIXED,1.57
OCCIO,"OFS Credit Company, Inc. 6.125% Series C",291,25.07,25.05,25.01,24.9,0.6,BULLISH,0.52
FWRG,"First Watch Restaurant Group, Inc. Commo",945,15.54,16.42,16.47,16.37,0.61,MIXED,0.74
IMXI,"International Money Express, Inc. Common",464,15.6,15.54,15.51,15.45,0.61,BULLISH,0.74
FUNC,First United Corporation Common Stock,245,37.76,38.26,38.31,38.49,0.61,BEARISH,0.7
SWKH,SWK Holdings Corporation Common Stock,205,16.96,17.2,17.28,17.3,0.61,BEARISH,0.99
MGRD,"Affiliated Managers Group, Inc. 4.200% J",445,15.67,15.61,15.6,15.52,0.62,BULLISH,0.74
MCR,MFS Charter Income Trust Common Stock,278,6.32,6.29,6.27,6.25,0.62,BULLISH,0.69
GBLI,"Global Indemnity Group, LLC Class A Comm",403,28.15,28.34,28.51,28.33,0.63,MIXED,1.43
TFSA,"Terra Income Fund 6, LLC 7.00% Notes due",211,25.01,25.0,24.98,24.84,0.63,BULLISH,2.65
ALTO,"Alto Ingredients, Inc. Common Stock",208,2.71,2.7,2.68,2.68,0.64,MIXED,0.79
EB,"Eventbrite, Inc. Class A Common Stock",430,4.41,4.41,4.41,4.44,0.65,MIXED,0.62
NVEC,NVE Corporation Common Stock,325,66.72,66.53,66.7,66.27,0.65,MIXED,0.58
XOMAP,XOMA Royalty Corporation 8.625% Series A,323,26.12,26.05,26.14,26.22,0.65,BEARISH,1.14
HTB,"HomeTrust Bancshares, Inc. Common Stock",764,43.9,43.99,43.8,43.69,0.68,BULLISH,0.99
GAIN,Gladstone Investment Corporation Busines,553,13.98,13.92,13.89,13.83,0.68,BULLISH,0.68
NEWTG,"NewtekOne, Inc. 8.50% Fixed Rate Senior ",672,25.54,25.42,25.35,25.24,0.7,BULLISH,0.59
BST,BlackRock Science and Technology Trust C,887,40.01,40.26,40.29,40.0,0.72,MIXED,0.71
BLW,Blackrock Limited Duration Income Trust,490,13.73,13.75,13.73,13.66,0.72,BULLISH,0.78
OCCIN,"OFS Credit Company, Inc. 5.25% Series E ",287,24.68,24.67,24.63,24.49,0.72,BULLISH,0.18
BANFP,BancFirst Corporation - BFC Capital Trus,870,26.11,26.2,26.16,26.01,0.73,BULLISH,1.15
GSBC,"Great Southern Bancorp, Inc. Common Stoc",715,63.68,63.38,63.01,62.92,0.73,BULLISH,0.85
HLLY,Holley Inc. Common Stock,513,4.2,4.14,4.11,4.14,0.73,MIXED,0.96
HCMA,HCM III Acquisition Corp. Class A Ordina,808,10.19,10.19,10.17,10.12,0.74,BULLISH,0.12
FSBW,"FS Bancorp, Inc. Common Stock",317,42.15,41.92,41.75,41.61,0.74,BULLISH,0.78
