Ticker,Name,MC ($M),Close,EMA9,EMA21,SMA50,Spread %,Alignment,Vol Ratio
MMT,MFS Multimarket Income Trust Common Stoc,270,4.53,4.56,4.56,4.56,0.04,MIXED,0.99
GBLI,"Global Indemnity Group, LLC Class A Comm",398,27.8,28.02,28.03,28.01,0.06,MIXED,0.68
HCMA,HCM III Acquisition Corp. Class A Ordina,805,10.15,10.13,10.12,10.12,0.12,BULLISH,1.79
PPT,Putnam Premier Income Trust Common Stock,347,3.49,3.5,3.5,3.51,0.13,MIXED,0.63
STRS,Stratus Properties Inc. Common Stock,241,30.24,30.24,30.29,30.27,0.17,MIXED,1.08
POWW,Outdoor Holding Company Common Stock,232,1.98,2.04,2.04,2.04,0.18,MIXED,1.09
FINW,FinWise Bancorp Common Stock,221,16.19,16.37,16.34,16.35,0.18,MIXED,1.15
BOC,Boston Omaha Corporation Class A Common ,378,12.32,12.31,12.29,12.29,0.19,MIXED,0.8
VPV,Invesco Pennsylvania Value Municipal Inc,254,10.64,10.61,10.59,10.6,0.19,MIXED,1.14
CCNEP,CNB Financial Corporation Depositary Sha,744,25.09,25.02,25.0,25.06,0.21,MIXED,0.69
MCR,MFS Charter Income Trust Common Stock,265,6.02,6.04,6.03,6.04,0.22,MIXED,0.81
LCNB,LCNB Corporation Common Stock,233,16.34,16.57,16.53,16.55,0.22,MIXED,0.61
CHSCP,CHS Inc. 8%  Cumulative Redeemable Prefe,341,27.8,27.7,27.71,27.76,0.23,BEARISH,0.73
GOODO,Gladstone Commercial Corporation 6.00% S,960,19.84,19.77,19.72,19.76,0.24,MIXED,0.67
FSCO,FS Credit Opportunities Corp. Common Sto,992,5.0,5.06,5.05,5.05,0.25,MIXED,0.87
WTBA,West Bancorporation Common Stock,407,24.03,24.18,24.2,24.25,0.26,BEARISH,1.13
NXP,Nuveen Select Tax Free Income Portfolio ,666,14.24,14.26,14.26,14.3,0.29,BEARISH,0.81
FCRX,"Crescent Capital BDC, Inc. 5.00% Notes d",928,25.03,25.02,25.0,24.95,0.3,BULLISH,0.29
FCNCP,"First Citizens BancShares, Inc. Deposita",255,21.57,21.46,21.39,21.4,0.3,MIXED,0.2
TCBIO,"Texas Capital Bancshares, Inc. Depositar",968,21.9,21.95,21.94,22.01,0.31,MIXED,0.52
MFM,MFS Municipal Income Trust Common Stock,222,5.38,5.4,5.38,5.4,0.31,MIXED,0.73
GEGGL,"Great Elm Group, Inc.  7.25% Notes due 2",714,24.64,24.43,24.38,24.35,0.32,BULLISH,1.77
SDHY,PGIM Short Duration High Yield Opportuni,396,16.06,16.12,16.06,16.08,0.33,MIXED,0.99
MYE,"Myers Industries, Inc. Common Stock",804,21.49,21.44,21.43,21.5,0.34,MIXED,0.99
TASK,"TaskUs, Inc. Class A Common Stock",587,6.48,6.83,6.85,6.84,0.34,MIXED,0.7
MBWM,Mercantile Bank Corporation Common Stock,874,50.62,51.63,51.73,51.55,0.35,MIXED,0.98
STKL,"SunOpta, Inc. Common Stock",768,6.49,6.48,6.47,6.46,0.35,BULLISH,0.77
UDMY,"Udemy, Inc. Common Stock",618,4.25,4.76,4.76,4.78,0.35,BEARISH,1.4
PKST,Peakstone Realty Trust Common Shares,780,20.97,20.94,20.89,20.87,0.36,BULLISH,1.26
TYG,Tortoise Energy Infrastructure Corporati,567,47.52,47.88,47.84,48.02,0.37,MIXED,1.12
LEO,"BNY Mellon Strategic Municipals, Inc. Co",393,6.31,6.35,6.34,6.33,0.37,BULLISH,0.95
VMO,Invesco Municipal Opportunity Trust Comm,651,9.66,9.68,9.64,9.66,0.38,MIXED,0.83
VGM,Invesco Trust for Investment Grade Munic,550,10.15,10.19,10.15,10.18,0.38,MIXED,0.9
GOGO,Gogo Inc. Common Stock,546,4.04,4.47,4.48,4.48,0.38,MIXED,0.95
ENTA,"Enanta Pharmaceuticals, Inc. Common Stoc",386,13.31,13.63,13.58,13.58,0.38,BULLISH,0.99
NATH,"Nathan's Famous, Inc. Common Stock",414,101.14,101.19,101.06,100.79,0.4,BULLISH,1.02
FTF,Franklin Limited Duration Income Trust C,238,5.88,5.88,5.86,5.87,0.4,MIXED,0.9
BHFAL,"Brighthouse Financial, Inc. 6.25% Junior",976,17.0,17.05,17.04,17.11,0.41,MIXED,0.72
NDMO,Nuveen Dynamic Municipal Opportunities F,615,10.34,10.32,10.28,10.29,0.41,MIXED,0.87
REI,"Ring Energy, Inc. Common Stock",318,1.52,1.43,1.43,1.43,0.41,MIXED,0.62
OCCIO,"OFS Credit Company, Inc. 6.125% Series C",290,24.97,24.96,24.93,24.85,0.42,BULLISH,1.55
SWKHL,SWK Holdings Corporation 9.00% Senior No,308,25.39,25.39,25.36,25.28,0.43,BULLISH,0.61
MVBF,MVB Financial Corp. Common Stock,334,26.0,26.06,25.95,26.07,0.44,MIXED,0.62
EFT,Eaton Vance Floating Rate Income Trust C,314,10.79,10.78,10.74,10.74,0.45,BULLISH,0.77
GAINN,Gladstone Investment Corporation 5.00% N,955,24.98,24.95,24.92,24.84,0.46,BULLISH,0.55
ETD,Ethan Allen Interiors Inc. Common Stock,571,22.43,22.48,22.4,22.5,0.46,MIXED,0.83
VKQ,Invesco Municipal Trust Common Stock,535,9.67,9.7,9.66,9.65,0.46,BULLISH,0.93
DDI,"DoubleDown Interactive Co., Ltd. America",444,8.95,8.83,8.79,8.79,0.47,BULLISH,1.69
CIX,CompX International Inc. Common Stock,292,23.71,23.41,23.3,23.4,0.47,MIXED,0.56
CBNA,"Chain Bridge Bancorp, Inc. Class A Commo",230,35.1,35.62,35.59,35.45,0.48,BULLISH,0.82
CUB,Lionheart Holdings Class A Ordinary Shar,344,10.82,10.8,10.78,10.74,0.49,BULLISH,1.06
BWBBP,"Bridgewater Bancshares, Inc. Depositary ",559,20.1,20.16,20.15,20.25,0.5,MIXED,0.46
MDWD,MediWound Ltd. Ordinary Shares,215,16.72,17.0,17.02,17.08,0.5,BEARISH,0.47
