ticker,compression_score,compression_pct,compression_alignment,compression_close,compression_ema9,compression_ema21,compression_sma50,compression_above_sma50,composite_score,name,market_cap_m
STKL,92.9,0.355,BULLISH,6.49,6.48,6.47,6.46,True,92.9,"SunOpta, Inc. Common Stock",768
NATH,91.97,0.402,BULLISH,101.14,101.19,101.06,100.79,True,91.97,"Nathan's Famous, Inc. Common Stock",414
DDI,90.61,0.47,BULLISH,8.95,8.83,8.79,8.79,True,90.61,"DoubleDown Interactive Co., Ltd. America",444
CUB,90.2,0.49,BULLISH,10.82,10.8,10.78,10.74,True,90.2,Lionheart Holdings Class A Ordinary Shar,344
NGS,87.34,0.633,BULLISH,39.67,38.37,38.28,38.12,True,87.34,"Natural Gas Services Group, Inc. Common ",500
IMXI,86.87,0.657,BULLISH,15.94,15.89,15.85,15.78,True,86.87,"International Money Express, Inc. Common",480
DGICA,84.85,0.758,BULLISH,17.73,17.54,17.42,17.41,True,84.85,"Donegal Group, Inc. Class A Common Stock",656
EWCZ,83.43,0.828,BULLISH,5.82,5.82,5.8,5.77,True,83.43,"European Wax Center, Inc. Class A Common",317
BRT,80.89,0.955,BULLISH,14.25,14.2,14.08,14.07,True,80.89,BRT Apartments Corp. (MD) Common Stock,271
HSTM,80.72,0.964,BULLISH,21.31,21.13,20.97,20.93,True,80.72,"HealthStream, Inc. Common Stock",627
EQBK,80.64,0.968,BULLISH,45.34,45.31,45.19,44.88,True,80.64,"Equity Bancshares, Inc. Class A Common S",952
PBFS,80.11,0.995,BULLISH,14.36,14.24,14.15,14.1,True,80.11,"Pioneer Bancorp, Inc. Common Stock",360
BRBS,78.88,1.056,BULLISH,3.58,3.54,3.53,3.5,True,78.88,"Blue Ridge Bankshares, Inc. Common Stock",327
LNKB,77.75,1.112,BULLISH,8.63,8.72,8.66,8.63,True,77.75,"LINKBANCORP, Inc. Common Stock",323
SAR,74.76,1.262,BULLISH,22.49,22.7,22.51,22.42,True,74.76,Saratoga Investment Corp New,364
ASIC,74.17,1.291,BULLISH,20.55,20.58,20.43,20.32,True,74.17,Ategrity Specialty Insurance Company Hol,988
BOW,72.38,1.381,BULLISH,23.95,23.94,23.69,23.61,True,72.38,Bowhead Specialty Holdings Inc. Common S,786
EVER,71.67,1.416,BULLISH,15.88,15.97,15.92,15.75,True,71.67,"EverQuote, Inc. Class A Common Stock",562
VHI,70.71,1.464,BULLISH,14.49,14.28,14.16,14.06,True,70.71,"Valhi, Inc. Common Stock",410
GDEN,70.7,1.465,BULLISH,28.35,28.21,27.89,27.79,True,70.7,"Golden Entertainment, Inc. Common Stock",743
IVR,69.85,1.507,BULLISH,8.36,8.3,8.23,8.18,True,69.85,INVESCO MORTGAGE CAPITAL INC Common Stoc,727
SFST,67.72,1.614,BULLISH,56.32,56.73,56.36,55.82,True,67.72,"Southern First Bancshares, Inc. Common S",465
AFRI,66.95,1.652,BULLISH,10.37,9.89,9.78,9.72,True,66.95,Forafric Global PLC Ordinary Shares,279
SXC,66.77,1.661,BULLISH,6.51,6.42,6.39,6.32,True,66.77,"SunCoke Energy, Inc. Common Stock",552
OMSE,65.98,1.701,BULLISH,4.74,4.61,4.56,4.53,True,65.98,OMS Energy Technologies Inc. Ordinary Sh,201
FVCB,65.24,1.738,BULLISH,15.69,15.57,15.42,15.3,True,65.24,"FVCBankcorp, Inc. Common Stock",282
JBSS,64.6,1.77,BULLISH,81.71,81.22,80.71,79.77,True,64.6,"John B. Sanfilippo & Son, Inc. Common St",955
HSHP,64.1,1.795,BULLISH,13.47,13.64,13.54,13.39,True,64.1,Himalaya Shipping Ltd. Common Shares,630
IMPP,63.65,1.818,BULLISH,4.64,4.41,4.37,4.32,True,63.65,Imperial Petroleum Inc. Common Shares,212
XRN,63.34,1.833,BULLISH,35.77,35.28,34.82,34.62,True,63.34,Chiron Real Estate Inc. Common Stock,473
NFBK,62.79,1.86,BULLISH,13.78,13.77,13.71,13.51,True,62.79,"Northfield Bancorp, Inc. Common Stock (D",576
BFS,62.36,1.882,BULLISH,34.53,33.94,33.49,33.29,True,62.36,"Saul Centers, Inc. Common Stock",846
GCBC,62.03,1.899,BULLISH,23.43,23.24,23.12,22.79,True,62.03,"Greene County Bancorp, Inc. Common Stock",399
BMRC,61.96,1.902,BULLISH,25.87,26.11,26.0,25.62,True,61.96,Bank of Marin Bancorp Common Stock,419
BCAL,60.89,1.955,BULLISH,18.47,18.47,18.29,18.1,True,60.89,California BanCorp Common Stock,594
BBSI,60.7,1.965,BULLISH,30.47,29.91,29.59,29.31,True,60.7,"Barrett Business Services, Inc. Common S",748
OLP,60.59,1.971,BULLISH,23.22,23.02,22.75,22.56,True,60.59,"One Liberty Properties, Inc. Common Stoc",507
TBPH,60.28,1.986,BULLISH,16.46,16.53,16.31,16.2,True,60.28,"Theravance Biopharma, Inc. Ordinary Shar",848
CZNC,58.94,2.053,BULLISH,23.13,23.24,23.07,22.77,True,58.94,Citizens & Northern Corp Common Stock,414
BWB,58.74,2.063,BULLISH,18.36,18.59,18.44,18.22,True,58.74,"Bridgewater Bancshares, Inc. Common Stoc",511
FSTR,58.4,2.08,BULLISH,32.03,30.3,29.78,29.63,True,58.4,L.B. Foster Company Common Stock,335
PLBC,57.7,2.115,BULLISH,51.25,51.53,50.95,50.45,True,57.7,Plumas Bancorp,357
ETO,57.59,2.121,BULLISH,29.21,28.97,28.5,28.35,True,57.59,Eaton Vance Tax-Advantage Global Dividen,479
BJRI,56.97,2.151,BULLISH,38.17,38.19,37.66,37.37,True,56.97,"BJ's Restaurants, Inc. Common Stock",802
USCB,56.87,2.156,BULLISH,19.12,19.46,19.34,19.04,True,56.87,"USCB Financial Holdings, Inc. Class A Co",349
FDBC,56.83,2.159,BULLISH,46.03,45.54,45.03,44.55,True,56.83,"Fidelity D & D Bancorp, Inc. Common Stoc",271
CTLP,56.63,2.169,BULLISH,10.79,10.79,10.76,10.56,True,56.63,"Cantaloupe, Inc. Common Stock",795
BWMN,55.91,2.204,BULLISH,31.86,31.29,30.79,30.59,True,55.91,Bowman Consulting Group Ltd. Common Stoc,546
EIG,54.63,2.268,BULLISH,41.86,41.96,41.69,41.01,True,54.63,Employers Holdings Inc Common Stock,816
TIPT,54.03,2.298,BULLISH,17.19,17.18,17.02,16.79,True,54.03,Tiptree Inc. Common Stock,651
ORRF,53.98,2.301,BULLISH,36.51,37.29,37.15,36.45,True,53.98,"Orrstown Financial Services, Inc. Common",716
REFI,52.65,2.367,BULLISH,12.15,11.91,11.75,11.62,True,52.65,"Chicago Atlantic Real Estate Finance, In",256
FRBA,51.6,2.42,BULLISH,16.53,16.63,16.51,16.23,True,51.6,First Bank Common Stock,415
FSBW,51.23,2.438,BULLISH,41.49,41.04,40.48,40.02,True,51.23,"FS Bancorp, Inc. Common Stock",311
OPK,50.36,2.482,BULLISH,1.23,1.21,1.19,1.18,True,50.36,"OPKO Health, Inc. Common Stock",934
EHAB,50.04,2.498,BULLISH,13.74,13.77,13.75,13.42,True,50.04,"Enhabit, Inc. Common Stock",697
FMAO,50.02,2.499,BULLISH,26.64,26.73,26.44,26.07,True,50.02,"Farmers & Merchants Bancorp, Inc. Common",366
FET,49.64,2.518,BULLISH,61.93,59.41,58.92,57.85,True,49.64,"Forum Energy Technologies, Inc. Common S",702
RIGL,49.44,2.528,BULLISH,30.29,30.89,30.16,30.13,True,49.44,"Rigel Pharmaceuticals, Inc. Common Stock",560
MITK,48.51,2.574,BULLISH,14.29,14.46,14.29,14.09,True,48.51,"Mitek Systems, Inc. Common Stock",648
USNA,47.85,2.607,BULLISH,19.44,19.26,18.78,18.75,True,47.85,"USANA Health Sciences, Inc. Common Stock",359
COSO,46.96,2.652,BULLISH,25.36,25.46,25.22,24.79,True,46.96,"CoastalSouth Bancshares, Inc. Common Sto",301
SHBI,46.74,2.663,BULLISH,19.1,19.28,19.12,18.77,True,46.74,Shore Bancshares Inc Common Stock,639
KFS,46.44,2.678,BULLISH,11.8,11.69,11.46,11.37,True,46.44,"Kingsway Financial Services, Inc. Common",342
AII,46.09,2.696,BULLISH,19.67,19.17,19.0,18.64,True,46.09,"American Integrity Insurance Group, Inc.",385
SEG,45.72,2.714,BULLISH,22.71,22.4,22.15,21.79,True,45.72,Seaport Entertainment Group Inc. Common ,291
BSRR,45.59,2.72,BULLISH,36.27,36.06,35.54,35.08,True,45.59,Sierra Bancorp Common Stock,475
NRDS,45.17,2.742,BULLISH,10.88,10.74,10.65,10.44,True,45.17,"NerdWallet, Inc. Class A Common Stock",716
BFST,45.0,2.75,BULLISH,28.26,28.4,28.09,27.62,True,45.0,"Business First Bancshares, Inc. Common S",924
TLS,44.61,2.77,BULLISH,4.43,4.35,4.31,4.23,True,44.61,Telos Corporation Common Stock,342
CTO,43.33,2.834,BULLISH,19.67,19.61,19.38,19.05,True,43.33,"CTO Realty Growth, Inc. Common Stock",640
KRNY,43.3,2.835,BULLISH,7.79,7.93,7.85,7.71,True,43.3,Kearny Financial Corp Common Stock,504
LEGH,42.88,2.856,BULLISH,21.41,21.35,21.02,20.74,True,42.88,Legacy Housing Corporation Common Stock ,510
OFLX,42.65,2.868,BULLISH,34.31,33.45,32.72,32.47,True,42.65,"Omega Flex, Inc. Common Stock",346
NAVI,40.8,2.96,BULLISH,8.95,8.76,8.59,8.5,True,40.8,Navient Corporation Common Stock,842
GLAD,40.54,2.973,BULLISH,18.32,18.44,18.21,17.9,True,40.54,Gladstone Capital Corporation Common Sto,414
